[INIT] Loaded 19 registry anchors for exclusion.
[SCAN] Processing 139 chapter files.

================================================================================
CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
Complete                  |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Council                   |   9 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Descent                   |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Desert                    |   9 files | e.g., book_01_book_of_genesis_004_the_convergence.md
Every                     |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
FIRST                     |   9 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
Falcon                    |   9 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
Federation                |   9 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
Good                      |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Hand                      |   9 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Indeed                    |   9 files | e.g., book_06_the_ragnarok_032_the_redo.md
Kyh                       |   9 files | e.g., book_09_bureaucratic_debt_051_arrival_in_fire.md
Line                      |   9 files | e.g., book_01_book_of_genesis_003_first_contact.md
Mora                      |   9 files | e.g., book_21_needle_and_thread_south_107_the_waking.txt
Needles                   |   9 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
Night                     |   9 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Observer                  |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Path                      |   9 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Pyroclast                 |   9 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Ragnarok                  |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
VII                       |   9 files | e.g., book_20_the_discordant_pulse_south_103_the_second_song_resonance_of_a_broken_needle.md
Valley                    |   9 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Water                     |   9 files | e.g., book_01_book_of_genesis_003_first_contact.md
Why                       |   9 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Years                     |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Aaon                      |   8 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Air                       |   8 files | e.g., book_16_fragmented_beginning_086_sanctuary_to_storm.md
Circle                    |   8 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
Citadel                   |   8 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Contact                   |   8 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Draco                     |   8 files | e.g., book_09_bureaucratic_debt_053_the_twilight_city.md
END                       |   8 files | e.g., book_05_the_nameless_one_026_dragonmail.md
Eastern                   |   8 files | e.g., book_08_the_vigil_of_the_anchor_043_the_badlands_crucible.md
Echoes                    |   8 files | e.g., book_09_bureaucratic_debt_053_the_twilight_city.md
